timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1542172594.6569614,number6,numbersix,3.643881320953369,False,5.131964683532715,424.57813024520874,2178.9199698187645,2.147667407989502
1542172598.1694808,wipers,wipers,3.4894509315490723,True,5.131964683532715,419.6411669254303,2153.5836484177653,2.2963860034942627
1542172602.1880317,mermaid,mermaid,3.9926204681396484,True,5.141739845275879,434.4520568847656,2233.839451746462,2.461186170578003
1542172605.8487768,salute,salute,3.6388001441955566,True,5.122189521789551,424.57813024520874,2174.7696499230074,2.6102371215820312
1542172609.4652152,mermaid,mermaid,3.3894975185394287,True,5.131964683532715,424.57813024520874,2178.9199698187645,2.759242534637451
1542172613.116122,salute,salute,3.623523235321045,True,5.131964683532715,429.5150935649872,2204.2562912197636,2.908245086669922
1542172616.7505915,number6,numbersix,3.6234846115112305,False,5.131964683532715,419.6411669254303,2153.5836484177653,3.057403802871704
1542172620.3976128,wipers,wipers,3.6229135990142822,True,5.131964683532715,424.57813024520874,2178.9199698187645,3.2057430744171143
1542172624.035538,turnclap,turnclap,3.6070170402526855,True,5.131964683532715,419.6411669254303,2153.5836484177653,3.3560962677001953
1542172627.682212,mermaid,mermaid,3.621782064437866,True,5.131964683532715,424.57813024520874,2178.9199698187645,3.5050699710845947
1542172631.344931,number7,number7,3.639824151992798,True,5.151515007019043,493.69552731513977,2543.2799178621226,3.653940200805664
1542172635.3421903,wipers,wipers,3.980308771133423,True,5.131964683532715,424.57813024520874,2178.9199698187645,3.819876194000244
1542172639.0283573,number6,numbersix,3.653256893157959,False,5.131964683532715,434.4520568847656,2229.5926126207632,3.970623254776001
1542172642.6300964,chicken,chicken,3.5758135318756104,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.121542930603027
1542172646.3077517,mermaid,mermaid,3.6627044677734375,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.270339488983154
1542172649.9174795,cowboy,cowboy,3.5818064212799072,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.419431686401367
1542172653.5679946,swing,swing,3.624581813812256,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.568657398223877
1542172657.2091799,number6,numbersix,3.6192831993103027,False,5.131964683532715,424.57813024520874,2178.9199698187645,4.716713905334473
1542172660.8487165,number7,number7,3.6146047115325928,True,5.131964683532715,424.57813024520874,2178.9199698187645,4.865659236907959
1542172664.4902563,swing,swing,3.5168237686157227,True,5.131964683532715,424.57813024520874,2178.9199698187645,5.014390468597412
1542172668.1325784,chicken,chicken,3.618344306945801,True,5.131964683532715,419.6411669254303,2153.5836484177653,5.163414001464844
1542172671.795014,cowboy,cowboy,3.6474783420562744,True,5.131964683532715,429.5150935649872,2204.2562912197636,5.31234884262085
1542172675.4213223,swing,swing,3.602368116378784,True,5.131964683532715,424.57813024520874,2178.9199698187645,5.461601257324219
1542172679.0690649,turnclap,turnclap,3.620859146118164,True,5.131964683532715,419.6411669254303,2153.5836484177653,5.610702037811279
1542172682.708097,salute,salute,3.6104867458343506,True,5.131964683532715,429.5150935649872,2204.2562912197636,5.760159492492676
1542172686.349661,swing,swing,3.6185989379882812,True,5.131964683532715,424.57813024520874,2178.9199698187645,5.908921718597412
1542172690.0093253,sidestep,sidestep,3.630748987197876,True,5.131964683532715,424.57813024520874,2178.9199698187645,6.057985782623291
1542172693.637725,turnclap,turnclap,3.603466749191284,True,5.131964683532715,439.3889904022217,2254.9287810772967,6.206622123718262
1542172697.6599183,sidestep,sidestep,3.9912283420562744,True,5.131964683532715,424.57813024520874,2178.9199698187645,6.372403621673584
1542172701.3049834,sidestep,sidestep,3.615145444869995,True,5.131964683532715,419.6411669254303,2153.5836484177653,6.524637222290039
1542172704.9398305,salute,salute,3.592780113220215,True,5.141739845275879,439.3889904022217,2259.223879526644,6.673376560211182
1542172708.5810244,turnclap,turnclap,3.6112747192382812,True,5.131964683532715,424.57813024520874,2178.9199698187645,6.8225579261779785
1542172712.6093109,chicken,chicken,3.9983720779418945,True,5.131964683532715,434.4520568847656,2229.5926126207632,6.9878740310668945
1542172716.2494435,number7,number7,3.6141793727874756,True,5.131964683532715,429.5150935649872,2204.2562912197636,7.136481285095215
1542172719.9256096,wipers,wipers,3.642124891281128,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.285033702850342
1542172723.527089,cowboy,cowboy,3.5721004009246826,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.4337544441223145
1542172727.1818385,chicken,chicken,3.6188507080078125,True,5.131964683532715,439.3889904022217,2254.9287810772967,7.58215856552124
1542172730.814183,sidestep,sidestep,3.603390693664551,True,5.131964683532715,424.57813024520874,2178.9199698187645,7.7306437492370605
1542172734.4654636,number7,number7,3.6313390731811523,True,5.131964683532715,434.4520568847656,2229.5926126207632,7.879213809967041
1542172738.0959015,cowboy,cowboy,3.6021909713745117,True,5.131964683532715,419.6411669254303,2153.5836484177653,8.027326583862305
