timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540371530.0707796,number7,chicken,1.7026078701019287,False,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371533.682618,number7,turnclap,3.6048591136932373,False,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371537.341142,chicken,chicken,3.6489486694335938,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371542.7618477,number7,turnclap,5.40674090385437,False,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540371546.4337022,number7,number7,3.6608831882476807,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371550.0693066,sidestep,sidestep,3.619659423828125,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540371553.7247012,sidestep,sidestep,3.6383705139160156,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371557.3744917,wipers,wipers,3.6358320713043213,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540371561.2408383,sidestep,sidestep,3.858368396759033,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540371564.8958242,number7,turnclap,3.643018960952759,False,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540371568.5558112,wipers,wipers,3.6450273990631104,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371573.06277,number7,turnclap,4.48900842666626,False,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371576.7271492,chicken,chicken,3.6553637981414795,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540371580.3757315,number7,number7,3.6356470584869385,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540371584.0171447,sidestep,sidestep,3.620471715927124,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540371587.6737957,number7,number7,3.6496682167053223,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540371591.3340583,chicken,chicken,3.640366315841675,True,5.112414360046387,0.08689040690660477,0.44421976401959995,0
1540371594.988307,number7,number7,3.641282796859741,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540371598.8440912,wipers,wipers,3.8358325958251953,True,5.122189521789551,0.08689040690660477,0.44506913180104135,0
1540371602.4972777,wipers,wipers,3.641256809234619,True,5.112414360046387,0.08254588395357132,0.4220087624869606,0
1540371606.1601412,sidestep,turnclap,3.647883415222168,False,5.112414360046387,0.08689040690660477,0.44421976401959995,0
