-30,-139,27,2.119824171,0.507226586,21.41835976,-13,-37,-28,7.431347847,-0.339746088,-2.148535252
10,62,39,2.512207031,-5.062695503,1.402050853,-48,77,18,5.072265625,-5.665625095,14.71435547
17,54,20,4.03867197,-3.751562595,0.909179688,-70,70,1,5.928808689,-4.536328316,14.04443359
15,53,4,5.77568388,-3.038574219,0.282324225,-94,59,-15,6.962402344,-3.708496094,13.25488281
16,55,-10,7.421777725,-2.938086033,0.153125003,-117,46,-29,8.129981041,-3.349609375,12.02988338
28,58,-25,8.713769913,-3.354394674,0.550292969,-126,31,-42,8.842968941,-3.134277344,10.65175819
50,56,-44,9.551172256,-4.005176067,1.306347728,-118,16,-53,9.043945313,-2.904589891,9.383691788
89,50,-68,9.876563072,-4.474121094,2.282519579,-107,-1,-60,8.948242188,-1.703515649,7.742383003
143,40,-91,9.82871151,-4.708593845,3.727636814,-115,-18,-60,8.618066788,0.320605487,5.713476658
205,26,-111,9.484179497,-4.249218941,6.014941692,-138,-32,-53,8.517578125,1.54082036,3.727636814
267,6,-111,9.512890816,-1.019238353,9.685156822,-151,-43,-44,8.469726563,1.564746141,2.134179831
261,-21,-89,9.555956841,4.59375,12.95820332,-129,-52,-35,7.723242283,1.225000024,1.311132789
181,-41,-59,8.752051353,7.25429678,15.28378963,-87,-59,-25,6.096289158,1.756152391,0.607714832
99,-62,-29,6.766211033,6.058007717,18.03525352,-55,-61,-19,4.890429974,2.067187548,-0.57421875
41,-92,-2,4.828222752,2.933300734,20.83456993,-33,-56,-22,4.742089748,1.033593774,-1.507324219
3,-126,13,3.282617331,0.330175787,22.26533318,-2,-46,-31,5.163183689,-0.033496093,-1.856640697
-28,-156,19,2.311230421,-1.856640697,22.26533318,36,-32,-36,5.694335938,-0.148339853,-1.612597704
-48,-174,20,2.598339796,-2.536132813,20.29384804,71,-22,-35,6.565234661,0.349316418,-0.200976565
-90,-172,18,3.459667921,-1.789648414,16.93466759,98,-14,-32,7.919433594,0.727343738,1.598242164
-152,-149,17,4.43584013,-1.387695313,13.22617245,110,-11,-29,8.799902916,0.779980481,3.976464987
-180,-113,14,4.842578411,-2.019335985,10.28330135,121,-14,-29,9.335840225,0.119628906,5.727832317
-168,-72,19,5.426367283,-2.249023438,7.732812881,138,-17,-31,9.388476372,-0.05263672,7.287793159
-128,-29,34,6.388183594,-2.205957174,4.699023724,151,-20,-32,8.675488472,0.148339853,8.905176163
-83,13,53,6.048437595,-2.397363424,2.847167969,144,-23,-29,7.747168064,1.464257836,10.02011776
-50,50,80,5.39287138,-2.167675734,2.402148485,125,-23,-17,6.876269817,1.454687476,11.25947285
-26,78,106,4.445410252,-2.856738329,2.784960985,122,-16,1,6.129785061,0.129199222,12.09687519
-16,97,127,3.660644531,-3.239550829,2.899804831,123,-4,18,5.474218845,-1.201074243,12.55625057
-25,109,143,2.775390625,-3.617578268,2.847167969,117,12,31,4.871289253,-2.574414015,12.83857441
-35,113,151,1.646093726,-4.483691692,2.411718845,105,31,40,4.655957222,-3.517089844,13.20703125
-41,113,147,0.440234393,-5.627343655,1.842285156,76,54,47,5.000488281,-3.928613424,13.81953144
-30,109,131,0.124414064,-6.660937786,0.96660161,40,73,51,5.517285347,-4.459765911,14.51816463
-9,104,106,0.397167981,-7.129882813,0.660351574,13,84,49,5.96709013,-4.852148533,14.79570389
16,94,76,0.995312512,-6.794921875,1.272851586,-3,90,43,5.971875191,-4.636816502,15.0158205
27,79,44,1.598242164,-5.560351849,1.899707079,-28,89,35,5.928808689,-3.603222609,15.10195351
22,67,14,2.741894484,-4.59375,1.904492259,-63,81,29,6.464745998,-2.933300734,14.93925858
13,58,-14,4.378417969,-4.254004002,1.593457103,-92,69,22,7.527050972,-2.775390625,14.44160175
14,50,-43,5.689550877,-4.38320303,1.54560554,-113,57,14,8.508008003,-2.971582174,13.63291073
33,41,-74,6.589160442,-4.632031441,1.679589868,-134,42,2,9.058300972,-3.26347661,12.58496094
69,31,-105,7.249511719,-4.665527344,1.866210938,-144,26,-11,9.340624809,-3.325683594,11.49394512
120,19,-129,8.048632622,-4.091308594,2.411718845,-137,7,-26,9.5703125,-2.804101706,10.21630859
179,6,-145,8.914746284,-2.6796875,3.411816359,-128,-12,-36,9.321484566,-1.320703149,8.551074028
225,-5,-150,9.225781441,-0.488085955,4.708593845,-125,-34,-37,8.708984375,0.325390637,6.608300686
258,-13,-134,9.642089844,3.153418064,6.928906441,-131,-54,-31,8.168261528,1.842285156,4.641601563
235,-23,-99,9.546386719,7.48398447,10.22587872,-135,-71,-21,7.589258194,2.392578125,3.162988424
163,-38,-57,9.177929878,8.967383385,13.77167988,-131,-87,-11,6.751855373,2.359081984,1.583886743
85,-55,-17,8.397949219,7.015038967,16.30781364,-117,-96,-6,5.593847752,1.981054783,-0.081347659
45,-75,11,6.737500191,3.474023581,18.90136719,-104,-95,-8,4.789941311,1.15800786,-1.952343822
39,-102,26,4.923925877,0.220117196,21.27959061,-78,-83,-19,4.651172161,-0.162695318,-3.282617331
30,-131,34,3.689355612,-1.33505857,22.24619102,-35,-62,-35,4.876074314,-1.277636766,-3.818554878
11,-154,32,3.014648438,-1.947558641,21.38007927,15,-37,-53,5.172753811,-1.507324219,-3.564941406
-24,-165,25,3.014648438,-2.49785161,19.64306641,68,-16,-64,5.900097847,-0.669921875,-2.205957174
-66,-162,17,3.785058737,-2.253808737,17.10214806,119,-5,-63,7.129882813,0.717773438,0.401953131
-129,-142,14,4.833007813,-0.942675829,13.59462929,148,-3,-55,8.144335747,2.071972609,3.033789158
-187,-107,18,5.416797161,-0.282324225,10.41250038,142,-8,-48,8.905176163,2.540918112,4.947851658
-204,-68,24,5.593847752,-0.674707055,7.799804688,132,-13,-44,9.651659966,1.373339891,6.215918064
-179,-34,37,6.062793255,-0.813476563,5.455078125,150,-14,-39,9.177929878,0.449804693,8.259180069
-134,2,59,5.813964844,-1.516894579,3.177343845,159,-14,-29,8.340527534,0.846972644,9.876563072
-83,35,81,4.651172161,-2.229882956,2.028906345,143,-11,-17,7.86679697,0.909179688,10.65175819
-47,63,107,4.03867197,-2.301660299,1.904492259,121,-3,-3,7.345214844,0.1866211,11.37910175
-28,85,128,3.143847704,-2.875879049,2.349511862,114,10,10,6.727929592,-1.129296899,12.06816387
-23,98,140,2.416503906,-3.287402391,2.660547018,119,27,25,6.201562405,-2.349511862,12.64716816
-33,104,147,1.378125072,-3.62714839,2.708398581,115,48,36,5.971875191,-3.009863377,13.02998066
-47,107,146,0.56943363,-4.531543255,2.555273533,86,68,42,5.833105564,-3.320898533,13.46064472
-46,104,136,0.200976565,-5.656054974,2.220312595,46,85,45,5.823535442,-3.574511766,13.81953144
-31,98,117,0.315820307,-6.354687691,1.899707079,9,98,46,6.110644817,-3.4453125,14.15927792
-11,87,91,1.076660156,-6.139355659,1.665234447,-16,104,46,6.220703125,-3.24433589,14.26933575
-3,78,64,1.937988281,-5.325879097,1.593457103,-37,106,44,6.258984566,-2.918945313,13.89609432
-7,70,36,2.6796875,-4.986133099,1.665234447,-53,105,40,6.689648628,-2.574414015,13.46064472
-8,60,7,3.651074171,-5.191894531,1.866210938,-67,98,33,7.220800877,-2.579199314,13.33623028
-4,51,-20,4.80429697,-5.105762005,2.110254049,-90,84,22,7.637109756,-2.473925829,13.17353535
0,40,-47,6.034081936,-4.737304688,2.450000048,-126,66,11,8.053418159,-2.502636671,12.71415997
