-44,156,419,-6.479101657867432,-6.57958984375,0.98095703125,37,10,-60,-5.866601467132568,3.076855421066284,4.392773628234863
-21,-32,130,-0.19619141519069672,-5.914453029632568,3.603222608566284,-134,36,82,-5.230175971984863,2.526562452316284,5.421582221984863
-37,-40,144,-0.50244140625,-5.560351848602295,3.2347657680511475,-148,34,78,-5.105762004852295,2.3877930641174316,5.053124904632568
-45,-49,160,-0.9522461295127869,-5.316308498382568,2.8902344703674316,-154,32,71,-5.124902248382568,2.2298829555511475,4.76123046875
-44,-62,179,-1.7130860090255737,-5.14404296875,2.502636671066284,-149,30,61,-5.196679592132568,2.024121046066284,4.52197265625
-40,-76,196,-2.598339796066284,-5.067480564117432,2.234668016433716,-137,29,50,-5.273242473602295,1.84228515625,4.368847846984863
-31,-90,214,-3.5362305641174316,-4.962207317352295,1.8614258766174316,-121,30,37,-5.373730659484863,1.7848633527755737,4.277929782867432
-23,-101,233,-4.890429973602295,-4.287499904632568,1.335058569908142,-102,32,23,-5.531640529632568,1.942773461341858,4.292285442352295
-28,-110,253,-6.69921875,-3.9668946266174316,0.8086914420127869,-82,36,10,-5.799609661102295,2.10546875,4.297070503234863
-37,-114,271,-8.48886775970459,-4.215722560882568,0.6029297113418579,-64,41,-1,-6.273339748382568,2.402148485183716,4.349707126617432
-48,-116,283,-10.06796932220459,-4.024316310882568,0.42109376192092896,-51,48,-11,-6.871484279632568,2.7466797828674316,4.4501953125
-66,-111,291,-11.62314510345459,-4.1630859375,0.11484375596046448,-45,54,-19,-7.53662109375,3.095996141433716,4.574609279632568
-73,-101,293,-12.972558975219727,-4.95263671875,0.11962890625,-45,58,-23,-8.192187309265137,3.3208985328674316,4.689453125
-75,-88,286,-13.958300590515137,-4.852148532867432,0.22490234673023224,-49,59,-23,-8.771191596984863,3.502734422683716,4.7373046875
-78,-73,268,-14.18798828125,-5.345019817352295,0.4737304747104645,-55,56,-19,-9.130078315734863,3.579296827316284,4.651172161102295
-70,-59,238,-13.65683650970459,-5.924023628234863,0.8134765625,-61,50,-9,-9.249707221984863,3.56494140625,4.531543254852295
-54,-48,201,-12.862500190734863,-5.90966796875,0.98095703125,-69,43,3,-9.249707221984863,3.531445264816284,4.416699409484863
-31,-38,159,-11.737988471984863,-5.435937404632568,0.8565430045127869,-79,34,17,-9.106152534484863,3.430957078933716,4.287499904632568
-19,-27,120,-10.776171684265137,-4.292285442352295,0.5263671875,-84,25,30,-8.9482421875,3.3448243141174316,4.225293159484863
-21,-16,89,-10.3837890625,-4.287499904632568,0.5790039300918579,-84,18,42,-8.857324600219727,3.541015625,4.306640625
-17,-6,64,-9.823925971984863,-3.6797852516174316,0.6268554925918579,-84,12,53,-8.713769912719727,3.7946290969848633,4.512402534484863
-27,-2,46,-9.70908260345459,-3.3974609375,0.7943359613418579,-86,8,64,-8.522363662719727,4.196582317352295,4.789941310882568
-45,0,36,-9.488965034484863,-3.598437547683716,0.93310546875,-94,5,75,-8.39794921875,4.799511909484863,5.16796875
-61,2,29,-9.268847465515137,-3.5601563453674316,1.1005859375,-107,0,88,-8.455370903015137,5.392871379852295,5.646484375
-77,2,25,-9.010449409484863,-3.411816358566284,1.239355444908142,-120,-6,104,-8.479296684265137,5.842675685882568,6.05322265625
-86,2,23,-8.881250381469727,-3.32568359375,1.3063477277755737,-128,-15,120,-8.4697265625,6.191992282867432,6.526953220367432
-89,1,19,-8.909960746765137,-3.3208985328674316,1.3876953125,-134,-27,140,-8.531933784484863,6.383398532867432,7.383496284484863
-86,-1,14,-8.862109184265137,-3.363964796066284,1.559960961341858,-136,-45,159,-8.627636909484863,6.407324314117432,8.44101619720459
-79,-3,6,-8.833398818969727,-3.3448243141174316,1.942773461341858,-128,-68,177,-8.508008003234863,6.574804782867432,9.30712890625
-70,-5,-1,-8.814257621765137,-3.143847703933716,2.383007764816284,-117,-90,195,-8.307031631469727,7.134667873382568,9.97705078125
-62,-7,-7,-8.82861328125,-2.6988282203674316,2.9237306118011475,-105,-114,214,-8.168261528015137,7.460058689117432,10.78574275970459
-56,-9,-11,-8.771191596984863,-2.1246094703674316,3.502734422683716,-93,-140,229,-8.077343940734863,7.68017578125,11.608789443969727
-59,-12,-10,-8.622851371765137,-0.9283203482627869,4.134375095367432,-87,-166,241,-8.101269721984863,8.23046875,12.331347465515137
-80,-16,-2,-8.670702934265137,-0.17226563394069672,4.842578411102295,-86,-194,256,-8.120409965515137,8.708984375,12.671093940734863
-108,-21,8,-9.010449409484863,0.095703125,5.077050685882568,-85,-218,267,-7.737597942352295,8.795117378234863,12.7763671875
-143,-26,20,-9.766504287719727,-0.516796886920929,4.990918159484863,-77,-239,272,-7.263867378234863,9.034375190734863,13.221386909484863
-167,-34,30,-10.230664253234863,-1.799218773841858,4.579394817352295,-69,-260,274,-6.948047161102295,8.790331840515137,13.364941596984863
-168,-42,33,-10.230664253234863,-3.1629884243011475,3.8424806594848633,-55,-280,273,-6.263769626617432,7.957715034484863,12.84335994720459
