gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
0,1,1,-9.283203125,0.29667970538139343,1.74658203125,-4,3,0,-6.704003810882568,4.273144721984863,5.579492092132568
-6,1,1,-9.292773246765137,0.07177734375,1.7800781726837158,-6,3,0,-6.689648628234863,4.182226657867432,5.703906536102295
-2,1,0,-9.240137100219727,0.08134765923023224,1.894921898841858,-5,2,0,-6.637012004852295,4.1630859375,5.636914253234863
2,0,1,-9.240137100219727,0.24404297769069672,1.9475586414337158,-5,2,0,-6.617871284484863,4.254004001617432,5.440722942352295
2,0,1,-9.21142578125,0.32060548663139343,1.9236328601837158,-5,2,1,-6.637012004852295,4.196582317352295,5.316308498382568
-1,0,0,-9.292773246765137,0.27275392413139343,1.8566406965255737,-4,3,1,-6.727929592132568,4.120019435882568,5.469433784484863
-2,0,0,-9.30712890625,0.15312500298023224,1.8662109375,-1,2,1,-6.732715129852295,4.076953411102295,5.603417873382568
-2,-1,0,-9.25927734375,0.20097656548023224,1.942773461341858,0,1,1,-6.665722846984863,4.13916015625,5.584277629852295
0,-1,0,-9.273633003234863,0.05742187798023224,1.9475586414337158,1,1,1,-6.62744140625,4.172656536102295,5.57470703125
3,-2,0,-9.35498046875,0.06699218600988388,1.8853516578674316,2,0,1,-6.62744140625,4.220508098602295,5.632129192352295
4,-2,0,-9.30712890625,0.21054688096046448,1.813574194908142,2,1,1,-6.622656345367432,4.239648342132568,5.646484375
1,-1,0,-9.220995903015137,0.3158203065395355,1.8040039539337158,1,0,1,-6.632226467132568,4.239648342132568,5.651269435882568
-4,0,0,-9.201855659484863,0.19619141519069672,1.9236328601837158,0,0,1,-6.694433689117432,4.254004001617432,5.651269435882568
-6,0,0,-9.13486385345459,-0.06220703199505806,1.9714844226837158,0,0,0,-6.704003810882568,4.220508098602295,5.651269435882568
0,0,-1,-9.11093807220459,-0.18183593451976776,1.9236328601837158,0,0,0,-6.565234661102295,4.100879192352295,5.684765815734863
4,0,0,-9.23056697845459,0.06699218600988388,1.8327149152755737,1,0,-1,-6.565234661102295,4.344922065734863,5.689550876617432
2,0,0,-9.321484565734863,0.06220703199505806,1.847070336341858,-2,1,0,-6.613086223602295,4.373632907867432,5.6943359375
-1,1,-1,-9.292773246765137,0.11484375596046448,1.9475586414337158,-4,2,0,-6.613086223602295,4.239648342132568,5.636914253234863
-5,1,-1,-9.13486385345459,0.19140625,2.000195264816284,-5,1,0,-6.584374904632568,4.18701171875,5.47900390625
-4,1,0,-9.091796875,-0.03349609300494194,1.9571290016174316,-4,2,0,-6.62744140625,4.134375095367432,5.43115234375
2,0,-1,-9.149218559265137,-0.2583984434604645,1.9714844226837158,0,0,-1,-6.670507907867432,4.024316310882568,5.689550876617432
11,-1,-3,-9.273633003234863,-0.26318359375,1.9762696027755737,2,-1,-2,-6.617871284484863,4.115234375,5.857031345367432
13,-1,-4,-9.27841854095459,-0.15791015326976776,1.8805664777755737,0,-1,-1,-6.517383098602295,4.177441596984863,5.775683879852295
16,-1,-4,-9.369336128234863,-0.22011719644069672,1.799218773841858,-2,0,0,-6.479101657867432,4.110449314117432,5.727832317352295
11,-1,-3,-9.23056697845459,-0.16269531846046448,1.69873046875,-4,2,1,-6.517383098602295,3.9190430641174316,5.828320503234863
9,-2,-2,-9.465039253234863,-0.36845704913139343,1.622167944908142,0,1,1,-6.713574409484863,3.7467775344848633,6.110644817352295
9,-3,-1,-9.584668159484863,-0.4258789122104645,1.454687476158142,8,-2,0,-6.656152248382568,3.80419921875,6.278125286102295
8,-2,-3,-9.436327934265137,-0.21533203125,1.5168945789337158,8,-3,0,-6.53173828125,4.048242092132568,6.139355659484863
-2,0,-6,-9.16357421875,-0.31103515625,1.7130860090255737,2,-1,0,-6.526953220367432,4.182226657867432,6.081933498382568
0,0,-6,-9.101366996765137,-0.516796886920929,1.7130860090255737,-2,0,3,-6.369042873382568,4.134375095367432,5.995800971984863
0,0,-4,-9.130078315734863,-0.45458984375,1.789648413658142,-6,2,4,-6.306836128234863,3.9860353469848633,5.938378810882568
-4,-2,-2,-9.393261909484863,-0.48808595538139343,1.7848633527755737,-6,3,4,-6.335546970367432,4.096093654632568,5.8857421875
-2,-4,-1,-9.61337947845459,-0.40673828125,1.8279297351837158,-7,6,5,-6.421679973602295,4.196582317352295,5.823535442352295
4,-5,2,-10.005762100219727,-0.22011719644069672,2.009765625,-11,10,6,-6.67529296875,4.344922065734863,5.938378810882568
1,-2,3,-9.359766006469727,0.04306640848517418,2.043261766433716,-11,10,8,-6.445605754852295,4.04345703125,5.703906536102295
-2,1,2,-9.024805068969727,-0.24882812798023224,2.1485352516174316,-3,6,5,-6.5078125,3.8233399391174316,5.780468940734863
0,0,2,-9.197070121765137,-0.5311523675918579,2.095898389816284,0,2,0,-6.86669921875,3.923828125,6.081933498382568
0,-2,4,-9.225781440734863,-0.74169921875,1.9284180402755737,1,1,0,-6.904980659484863,3.9429688453674316,6.191992282867432
-1,-1,0,-8.914746284484863,-0.98095703125,1.8757812976837158,3,-1,2,-6.3642578125,3.9142580032348633,5.713476657867432
7,0,-5,-8.881250381469727,-0.7943359613418579,1.9714844226837158,1,-2,2,-6.211133003234863,3.9525392055511475,5.306738376617432
12,-1,-2,-9.101366996765137,-0.42109376192092896,2.2920899391174316,0,-2,-1,-6.689648628234863,4.148730754852295,5.378515720367432
11,-4,-1,-9.149218559265137,-0.535937488079071,2.36865234375,5,-1,-1,-6.952832221984863,4.115234375,5.512500286102295
16,-5,-4,-9.11572265625,-0.11005859822034836,2.574414014816284,18,-2,-1,-6.81884765625,3.9764649868011475,5.617773532867432
2,-4,-7,-9.048730850219727,0.0478515625,2.354296922683716,24,-5,-8,-6.608300685882568,4.158300876617432,5.665625095367432
13,-5,-5,-9.02001953125,0.12441406399011612,2.215527296066284,17,-4,-13,-6.5078125,4.584179878234863,5.612988471984863
19,-6,-3,-9.048730850219727,0.11005859822034836,2.1006836891174316,1,0,-8,-6.474316596984863,4.933495998382568,5.474218845367432
9,-1,-2,-9.034375190734863,0.20097656548023224,2.0528321266174316,-10,2,-3,-6.479101657867432,4.732519626617432,5.483788967132568
3,0,0,-9.130078315734863,0.21533203125,2.287304639816284,-8,2,-2,-6.479101657867432,4.627246379852295,5.43115234375
-4,0,2,-9.25449275970459,0.17226563394069672,2.502636671066284,-5,2,0,-6.431250095367432,4.627246379852295,5.368945598602295
-10,-1,3,-9.335840225219727,-0.1435546875,2.617480516433716,-3,4,4,-6.445605754852295,4.655957221984863,5.373730659484863
-8,-3,3,-9.16357421875,-0.25361329317092896,2.60791015625,-5,6,8,-6.546093940734863,4.5458984375,5.450293064117432
-2,-4,2,-9.08701229095459,-0.31103515625,2.56005859375,-6,6,10,-6.608300685882568,4.368847846984863,5.584277629852295
1,-3,0,-8.9482421875,-0.3397460877895355,2.392578125,-6,4,8,-6.689648628234863,4.254004001617432,5.660840034484863
10,-2,0,-8.99130916595459,-0.32060548663139343,2.4834961891174316,-5,3,5,-6.718359470367432,4.249218940734863,5.675195217132568
15,-2,0,-9.034375190734863,-0.3780273497104645,2.6031250953674316,-5,1,4,-6.67529296875,4.297070503234863,5.627343654632568
7,-2,-1,-8.957812309265137,-0.31103515625,2.6318359375,-5,1,5,-6.613086223602295,4.196582317352295,5.584277629852295
1,-2,-1,-9.053515434265137,-0.48808595538139343,2.5313477516174316,-3,1,5,-6.641797065734863,4.120019435882568,5.55078125
4,-2,-2,-9.058300971984863,-0.4354492127895355,2.593554735183716,-1,0,3,-6.7470703125,4.0673828125,5.612988471984863
6,-2,-2,-9.010449409484863,-0.37324219942092896,2.569628953933716,2,0,1,-6.72314453125,3.9908204078674316,5.646484375
11,0,-2,-9.010449409484863,-0.27275392413139343,2.526562452316284,5,-1,-3,-6.684863567352295,4.04345703125,5.67041015625
15,0,-2,-9.02001953125,-0.17226563394069672,2.46435546875,7,-2,-6,-6.617871284484863,4.254004001617432,5.612988471984863
15,0,-1,-9.101366996765137,-0.08134765923023224,2.392578125,5,0,-5,-6.593945503234863,4.397558689117432,5.565136909484863
11,0,0,-9.120508193969727,0.0,2.4117188453674316,2,1,-3,-6.5556640625,4.383203029632568,5.560351848602295
5,1,1,-9.130078315734863,0.05263672024011612,2.41650390625,0,2,-2,-6.5556640625,4.373632907867432,5.55078125
3,0,2,-9.15878963470459,0.06699218600988388,2.430859327316284,0,3,0,-6.53173828125,4.311425685882568,5.569921970367432
2,0,3,-9.125292778015137,0.12919922173023224,2.450000047683716,-1,4,0,-6.565234661102295,4.335351467132568,5.555566310882568
-2,1,4,-9.034375190734863,0.10527344048023224,2.4834961891174316,-7,4,2,-6.69921875,4.431054592132568,5.435937404632568
-4,0,4,-9.091796875,0.06699218600988388,2.521777391433716,-10,2,5,-6.751855373382568,4.297070503234863,5.469433784484863
-2,0,3,-9.08701229095459,0.03349609300494194,2.737109422683716,-3,0,4,-6.6513671875,4.1630859375,5.345019817352295
-1,-2,1,-9.225781440734863,-0.08134765923023224,3.024218797683716,1,0,1,-6.718359470367432,4.120019435882568,5.258886814117432
2,-5,-2,-9.149218559265137,0.01435546949505806,2.808886766433716,3,3,0,-6.742285251617432,4.421484470367432,5.0244140625
-26,-8,-2,-8.785547256469727,0.6172851920127869,2.7706055641174316,-5,8,0,-6.632226467132568,4.651172161102295,5.756543159484863
-12,0,-5,-9.13486385345459,-1.057519555091858,2.7227540016174316,-2,0,5,-6.794921875,4.560254096984863,5.211035251617432
38,-3,-10,-9.029589653015137,-0.799121081829071,2.784960985183716,-2,2,9,-6.766211032867432,4.459765911102295,5.019629001617432
20,-3,-1,-8.938672065734863,-0.23447266221046448,3.2108399868011475,3,1,5,-6.737500190734863,4.273144721984863,4.9765625
19,-3,-1,-8.933886528015137,-0.74169921875,3.196484327316284,5,4,4,-6.857129096984863,4.196582317352295,5.04833984375
25,-5,-4,-8.8525390625,-0.6172851920127869,3.0098633766174316,11,5,0,-6.766211032867432,4.196582317352295,5.392871379852295
7,-4,-5,-8.766406059265137,-0.34931641817092896,2.8663086891174316,11,4,-4,-6.67529296875,4.340137004852295,5.71826171875
2,-3,-6,-8.723340034484863,-0.42109376192092896,2.909374952316284,4,0,-5,-6.665722846984863,4.766015529632568,5.703906536102295
10,-2,-4,-8.8046875,-0.1435546875,3.13427734375,-6,-1,-1,-6.574804782867432,4.684668064117432,5.517285346984863
-2,-1,-1,-8.771191596984863,-0.1435546875,3.196484327316284,-12,-1,0,-6.680078029632568,4.708593845367432,5.392871379852295
-11,0,-1,-8.72812557220459,-0.4354492127895355,3.029003858566284,-15,0,0,-6.689648628234863,4.708593845367432,5.397656440734863
-14,1,-1,-8.790331840515137,-0.588574230670929,3.0672852993011475,-11,-1,1,-6.632226467132568,4.560254096984863,5.388085842132568
-14,4,0,-8.87168025970459,-0.703417956829071,3.196484327316284,-3,-4,2,-6.593945503234863,4.431054592132568,5.278027534484863
-7,5,2,-8.857324600219727,-0.9283203482627869,3.3448243141174316,3,-4,1,-6.713574409484863,4.407128810882568,5.16796875
4,5,1,-8.89560604095459,-1.0910156965255737,3.316113233566284,6,-1,1,-6.665722846984863,4.239648342132568,5.062695503234863
14,3,0,-8.862109184265137,-1.105371117591858,3.215625047683716,5,2,0,-6.694433689117432,4.143945217132568,5.196679592132568
25,1,-3,-8.857324600219727,-0.93310546875,3.0625,8,4,-5,-6.684863567352295,4.024316310882568,5.450293064117432
28,0,-5,-8.84775447845459,-0.5790039300918579,2.9955079555511475,12,1,-10,-6.660937786102295,4.28271484375,5.656054973602295
22,0,-5,-8.87646484375,-0.37324219942092896,2.957226514816284,8,-1,-10,-6.622656345367432,4.588964939117432,5.579492092132568
17,1,-5,-8.8525390625,-0.37324219942092896,2.9380860328674316,3,-2,-7,-6.670507907867432,4.655957221984863,5.488574504852295
13,2,-5,-8.819043159484863,-0.3875976502895355,2.8902344703674316,1,-2,-5,-6.670507907867432,4.660742282867432,5.397656440734863
8,2,-5,-8.886034965515137,-0.4593750238418579,2.837597608566284,-2,0,-1,-6.632226467132568,4.675097942352295,5.345019817352295
3,2,-5,-8.914746284484863,-0.50244140625,2.8280274868011475,-7,0,1,-6.641797065734863,4.454980373382568,5.426367282867432
1,2,-5,-8.92431640625,-0.57421875,2.8184571266174316,-8,0,2,-6.708789348602295,4.277929782867432,5.536426067352295
4,0,-5,-9.053515434265137,-0.655566394329071,2.79931640625,-10,0,4,-6.670507907867432,4.215722560882568,5.483788967132568
6,-1,-4,-8.99130916595459,-0.512011706829071,2.8041017055511475,-7,0,2,-6.670507907867432,4.09130859375,5.641699314117432
-5,0,-3,-8.91953182220459,-0.588574230670929,2.9715821743011475,-7,0,2,-6.727929592132568,4.129590034484863,5.555566310882568
-6,1,-4,-8.933886528015137,-1.0383789539337158,2.775390625,-10,2,3,-6.689648628234863,3.94775390625,5.684765815734863
0,2,-4,-8.953027725219727,-1.0192383527755737,2.741894483566284,0,0,0,-6.794921875,3.8759765625,5.57470703125
0,2,-4,-9.02001953125,-1.1627930402755737,2.4452149868011475,2,-1,1,-6.756640911102295,4.148730754852295,5.632129192352295
16,-1,-7,-9.08701229095459,-1.3733398914337158,2.89501953125,4,-2,0,-6.589160442352295,3.85205078125,6.048437595367432
1,0,-6,-8.742480278015137,-0.751269519329071,3.0146484375,8,0,-1,-6.646582126617432,4.153515815734863,5.560351848602295
-2,1,-8,-9.173144340515137,-1.8662109375,2.3255860805511475,-11,5,1,-6.814062595367432,4.320996284484863,5.354589939117432
5,0,-2,-8.857324600219727,-1.5791015625,2.583984375,1,0,-1,-6.541308879852295,3.8472657203674316,5.971875190734863
3,0,-1,-8.886034965515137,-1.53125,2.60791015625,2,0,0,-6.488671779632568,4.100879192352295,6.067578315734863
1,0,0,-8.881250381469727,-1.5934571027755737,2.6126954555511475,-1,0,0,-6.5078125,4.033886909484863,5.962304592132568
0,0,0,-8.87646484375,-1.6413086652755737,2.617480516433716,1,0,0,-6.445605754852295,3.9668946266174316,6.081933498382568
0,0,0,-8.866894721984863,-1.631738305091858,2.622265577316284,0,1,0,-6.522168159484863,3.9908204078674316,5.919238567352295
0,0,0,-8.886034965515137,-1.631738305091858,2.5887696743011475,7,0,-2,-6.593945503234863,3.63671875,5.6943359375
0,0,0,-8.866894721984863,-1.574316382408142,2.593554735183716,33,-3,-10,-6.48388671875,3.8759765625,6.560449123382568
-3,0,0,-8.866894721984863,-1.5886719226837158,2.6509766578674316,17,-4,-9,-6.43603515625,4.225293159484863,5.90966796875
-4,0,0,-8.8525390625,-1.7130860090255737,2.6509766578674316,17,-2,-11,-6.53173828125,4.454980373382568,5.412011623382568
-2,0,0,-8.886034965515137,-1.727441430091858,2.5887696743011475,7,-1,-10,-6.670507907867432,4.167870998382568,5.579492092132568
-2,0,0,-8.857324600219727,-1.6173828840255737,2.574414014816284,6,0,-5,-6.57958984375,4.4501953125,5.565136909484863
-4,0,0,-8.87168025970459,-1.646093726158142,2.6126954555511475,2,2,4,-6.6513671875,4.517187595367432,5.62255859375
-5,0,1,-8.900390625,-1.813574194908142,2.622265577316284,-6,2,8,-6.57958984375,4.239648342132568,5.799609661102295
-2,0,1,-8.79990291595459,-1.9523438215255737,2.5074219703674316,-12,2,7,-6.522168159484863,3.9286134243011475,5.852246284484863
0,0,0,-8.82861328125,-1.966699242591858,2.46435546875,-9,1,3,-6.665722846984863,3.80419921875,5.823535442352295
0,0,0,-8.819043159484863,-2.0049805641174316,2.402148485183716,-1,0,0,-6.617871284484863,3.732421875,5.943164348602295
1,0,-2,-8.87168025970459,-2.000195264816284,2.4595704078674316,9,-2,-3,-6.522168159484863,3.8664064407348633,5.952734470367432
3,0,-2,-8.97216796875,-1.8805664777755737,2.5074219703674316,12,-3,-4,-6.479101657867432,4.230078220367432,5.847461223602295
1,0,-2,-8.890820503234863,-1.765722632408142,2.497851610183716,5,-2,-1,-6.378613471984863,4.397558689117432,5.7421875
0,0,-1,-8.87646484375,-1.727441430091858,2.5074219703674316,-3,0,2,-6.445605754852295,4.244433879852295,5.823535442352295
-3,-1,0,-8.92431640625,-1.79443359375,2.46435546875,-3,0,2,-6.512597560882568,4.100879192352295,5.871387004852295
-4,0,0,-8.900390625,-1.966699242591858,2.5169923305511475,-1,0,2,-6.493457317352295,4.124804973602295,5.837890625
-2,0,0,-8.8525390625,-1.9332032203674316,2.550488233566284,-1,0,1,-6.512597560882568,4.115234375,5.852246284484863
0,0,0,-8.84775447845459,-1.9762696027755737,2.48828125,-1,0,1,-6.517383098602295,4.124804973602295,5.890527248382568
0,0,0,-8.838183403015137,-2.0049805641174316,2.48828125,-1,0,1,-6.53173828125,4.062597751617432,5.8857421875
1,0,0,-8.842968940734863,-1.9619140625,2.497851610183716,0,0,0,-6.522168159484863,4.110449314117432,5.852246284484863
1,0,0,-8.862109184265137,-1.9284180402755737,2.5409181118011475,0,0,0,-6.5078125,4.134375095367432,5.876172065734863
1,0,0,-8.857324600219727,-1.9092774391174316,2.5361328125,0,0,0,-6.522168159484863,4.143945217132568,5.900097846984863
1,0,0,-8.814257621765137,-2.000195264816284,2.521777391433716,0,0,0,-6.48388671875,4.148730754852295,5.8857421875
3,0,0,-8.838183403015137,-1.990625023841858,2.48828125,0,0,0,-6.488671779632568,4.1630859375,5.876172065734863
3,0,-1,-8.842968940734863,-1.9044922590255737,2.51220703125,0,0,0,-6.498242378234863,4.158300876617432,5.890527248382568
1,0,-1,-8.857324600219727,-1.8566406965255737,2.4930665493011475,0,0,0,-6.488671779632568,4.153515815734863,5.895312786102295
1,0,0,-8.900390625,-1.8518555164337158,2.5169923305511475,0,0,0,-6.503027439117432,4.215722560882568,5.842675685882568
0,0,0,-8.8525390625,-1.9092774391174316,2.5074219703674316,-1,0,0,-6.4599609375,4.191796779632568,5.847461223602295
2,0,0,-8.886034965515137,-1.89013671875,2.502636671066284,-2,0,0,-6.488671779632568,4.13916015625,5.86181640625
1,0,0,-8.886034965515137,-1.84228515625,2.497851610183716,-1,0,0,-6.517383098602295,4.110449314117432,5.86181640625
0,0,0,-8.862109184265137,-1.9284180402755737,2.5313477516174316,0,0,0,-6.479101657867432,4.09130859375,5.895312786102295
0,0,0,-8.890820503234863,-1.98583984375,2.502636671066284,0,0,0,-6.479101657867432,4.100879192352295,5.93359375
2,0,0,-8.862109184265137,-2.009765625,2.454785108566284,0,0,0,-6.48388671875,4.153515815734863,5.900097846984863
3,0,-1,-8.838183403015137,-1.9284180402755737,2.4356446266174316,-1,0,0,-6.488671779632568,4.143945217132568,5.947949409484863
1,0,0,-8.87646484375,-1.89013671875,2.4117188453674316,-2,1,0,-6.498242378234863,4.0673828125,5.947949409484863
0,0,0,-8.87168025970459,-1.93798828125,2.4117188453674316,-2,1,0,-6.498242378234863,4.038671970367432,5.924023628234863
0,0,0,-8.87646484375,-1.990625023841858,2.46435546875,-1,1,0,-6.479101657867432,4.062597751617432,5.928808689117432
0,0,0,-8.881250381469727,-2.0289063453674316,2.4595704078674316,-2,1,0,-6.464745998382568,4.096093654632568,5.93359375
2,0,0,-8.89560604095459,-2.0049805641174316,2.430859327316284,-2,1,0,-6.479101657867432,4.0673828125,5.928808689117432
1,0,0,-8.909960746765137,-1.8805664777755737,2.450000047683716,-1,1,0,-6.479101657867432,4.04345703125,5.895312786102295
0,0,1,-8.905176162719727,-1.8997070789337158,2.5074219703674316,0,1,0,-6.503027439117432,4.053027629852295,5.8857421875
0,0,1,-8.881250381469727,-1.9714844226837158,2.5169923305511475,0,1,0,-6.503027439117432,4.033886909484863,5.847461223602295
3,0,0,-8.87646484375,-1.9619140625,2.4930665493011475,1,1,0,-6.512597560882568,4.062597751617432,5.852246284484863
4,0,0,-8.862109184265137,-1.89013671875,2.473925828933716,1,1,0,-6.522168159484863,4.115234375,5.833105564117432
4,0,0,-8.881250381469727,-1.79443359375,2.5169923305511475,1,1,0,-6.53173828125,4.129590034484863,5.794824123382568
4,0,1,-8.87646484375,-1.8087891340255737,2.545703172683716,2,1,0,-6.550879001617432,4.182226657867432,5.809179782867432
4,0,0,-8.866894721984863,-1.7130860090255737,2.5074219703674316,1,1,0,-6.560449123382568,4.277929782867432,5.770898342132568
0,0,0,-8.862109184265137,-1.6125977039337158,2.473925828933716,-2,2,1,-6.589160442352295,4.263574123382568,5.751758098602295
-3,0,1,-8.833398818969727,-1.7130860090255737,2.569628953933716,-5,3,1,-6.603515625,4.110449314117432,5.71826171875
-2,0,2,-8.862109184265137,-1.9044922590255737,2.6126954555511475,-3,2,0,-6.646582126617432,3.99560546875,5.751758098602295
3,0,1,-8.862109184265137,-1.9236328601837158,2.51220703125,2,1,-1,-6.560449123382568,3.957324266433716,5.785254001617432
6,0,0,-8.866894721984863,-1.789648413658142,2.4595704078674316,6,0,-3,-6.550879001617432,4.177441596984863,5.785254001617432
4,0,0,-8.929101943969727,-1.6843750476837158,2.497851610183716,3,0,-1,-6.5078125,4.268359661102295,5.794824123382568
2,0,1,-8.933886528015137,-1.670019507408142,2.4930665493011475,-1,2,1,-6.517383098602295,4.230078220367432,5.775683879852295
0,0,1,-8.914746284484863,-1.6891602277755737,2.473925828933716,-3,3,1,-6.560449123382568,4.0673828125,5.727832317352295
1,0,2,-8.929101943969727,-1.6891602277755737,2.497851610183716,0,3,0,-6.570019721984863,4.072167873382568,5.665625095367432
1,0,1,-8.938672065734863,-1.6604492664337158,2.502636671066284,1,3,0,-6.593945503234863,4.110449314117432,5.6943359375
0,0,1,-8.914746284484863,-1.574316382408142,2.583984375,0,3,0,-6.632226467132568,4.249218940734863,5.703906536102295
0,0,2,-8.886034965515137,-1.559960961341858,2.6031250953674316,-1,3,1,-6.632226467132568,4.306640625,5.67041015625
0,0,2,-8.87646484375,-1.6125977039337158,2.5552735328674316,-3,3,2,-6.622656345367432,4.1630859375,5.660840034484863
1,-1,1,-8.933886528015137,-1.6125977039337158,2.526562452316284,0,2,1,-6.646582126617432,4.206152439117432,5.665625095367432
0,-1,0,-8.938672065734863,-1.478613257408142,2.56005859375,-4,3,3,-6.646582126617432,4.292285442352295,5.5986328125
-2,-1,1,-8.92431640625,-1.478613257408142,2.598339796066284,-7,4,4,-6.689648628234863,4.143945217132568,5.584277629852295
-3,-1,1,-8.866894721984863,-1.5408203601837158,2.598339796066284,-6,3,3,-6.72314453125,4.0673828125,5.612988471984863
-1,-1,1,-8.900390625,-1.6365234851837158,2.641406297683716,-1,2,1,-6.689648628234863,4.076953411102295,5.641699314117432
0,-1,0,-8.89560604095459,-1.5408203601837158,2.622265577316284,0,1,0,-6.622656345367432,4.201367378234863,5.57470703125
0,-1,0,-8.900390625,-1.406835913658142,2.6844727993011475,0,1,1,-6.613086223602295,4.349707126617432,5.531640529632568
-3,-2,1,-8.886034965515137,-1.478613257408142,2.7227540016174316,-2,2,3,-6.584374904632568,4.3544921875,5.555566310882568
-4,-2,1,-8.92431640625,-1.5408203601837158,2.7227540016174316,-3,2,4,-6.62744140625,4.268359661102295,5.589062690734863
-3,-2,1,-8.82861328125,-1.6413086652755737,2.7083985805511475,-2,2,4,-6.6513671875,4.225293159484863,5.584277629852295
0,-2,0,-8.842968940734863,-1.583886742591858,2.7466797828674316,0,1,3,-6.622656345367432,4.249218940734863,5.608203411102295
0,-3,0,-8.87168025970459,-1.4738281965255737,2.689257860183716,-1,1,3,-6.617871284484863,4.306640625,5.579492092132568
-3,-3,0,-8.862109184265137,-1.45947265625,2.7323243618011475,-1,1,4,-6.617871284484863,4.263574123382568,5.536426067352295
-4,-2,1,-8.833398818969727,-1.559960961341858,2.7801759243011475,0,1,3,-6.617871284484863,4.2587890625,5.555566310882568
-1,-3,1,-8.842968940734863,-1.559960961341858,2.8041017055511475,0,1,2,-6.574804782867432,4.3544921875,5.589062690734863
-2,-3,1,-8.838183403015137,-1.464257836341858,2.856738328933716,0,1,2,-6.584374904632568,4.421484470367432,5.593847751617432
-5,-2,2,-8.795117378234863,-1.4738281965255737,2.9141602516174316,-1,1,2,-6.541308879852295,4.4501953125,5.541211128234863
-5,-2,2,-8.75205135345459,-1.607812523841858,2.933300733566284,-1,2,2,-6.512597560882568,4.507617473602295,5.474218845367432
-4,-1,2,-8.747265815734863,-1.646093726158142,2.9380860328674316,-3,3,2,-6.536523342132568,4.555469036102295,5.512500286102295
-1,-1,1,-8.723340034484863,-1.6125977039337158,2.952441453933716,-3,3,3,-6.536523342132568,4.47412109375,5.593847751617432
0,0,1,-8.699414253234863,-1.5168945789337158,2.9476563930511475,-2,1,3,-6.493457317352295,4.397558689117432,5.522070407867432
-1,0,1,-8.7568359375,-1.416406273841858,2.9715821743011475,0,1,0,-6.536523342132568,4.387988567352295,5.493359565734863
-6,0,2,-8.82382869720459,-1.5791015625,3.0672852993011475,0,1,0,-6.660937786102295,4.6416015625,5.584277629852295
