-15,3,-9,-7.412207126617432,-4.454980373382568,4.000390529632568,-3,8,-34,-7.2255859375,3.741992235183716,3.5218751430511475
-13,5,-31,-7.517480850219727,-4.244433879852295,4.057812690734863,-8,-1,-59,-7.407422065734863,4.292285442352295,3.9046876430511475
8,8,-47,-7.809375286102295,-3.9525392055511475,4.536328315734863,-2,-11,-69,-7.747168064117432,4.646386623382568,4.40234375
40,6,-42,-8.0869140625,-1.8662109375,5.435937404632568,42,-24,-64,-7.924219131469727,5.134472846984863,4.598535060882568
3,-1,-24,-8.01513671875,-2.4212892055511475,4.756445407867432,51,-30,-39,-7.627539157867432,5.967090129852295,4.143945217132568
-2,1,-24,-7.828516006469727,-3.5362305641174316,3.789843797683716,15,-24,-20,-7.350000381469727,5.153613567352295,3.6415040493011475
17,7,-24,-7.550976753234863,-3.46923828125,3.622363328933716,-4,-18,-14,-7.5126953125,4.574609279632568,3.42138671875
15,8,-13,-7.369140625,-3.3974609375,3.627148389816284,2,-16,-11,-7.565332412719727,4.2587890625,3.430957078933716
12,7,-3,-7.622754096984863,-3.531445264816284,3.627148389816284,14,-10,-6,-7.641894817352295,4.416699409484863,3.4883790016174316
1,5,2,-7.751953125,-3.5458009243011475,3.70849609375,20,-1,3,-7.63232421875,4.407128810882568,3.579296827316284
-4,5,0,-7.780664443969727,-3.7132813930511475,3.7611329555511475,23,6,12,-7.579687595367432,4.359277248382568,3.694140672683716
0,7,-5,-7.818945407867432,-3.7707033157348633,3.8711915016174316,17,12,15,-7.723242282867432,4.464550971984863,3.7946290969848633
-7,3,-7,-8.01513671875,-3.18212890625,3.8759765625,-4,16,13,-7.570117473602295,4.588964939117432,3.909472703933716
-26,-3,-5,-7.761523723602295,-3.0816407203674316,3.7802734375,-16,19,4,-7.239941596984863,4.3544921875,3.8089845180511475
-6,-6,-11,-8.000781059265137,-2.091113328933716,4.230078220367432,-13,12,7,-7.407422065734863,6.43603515625,4.005176067352295
-30,-20,-1,-8.125195503234863,-0.703417956829071,5.340234279632568,35,7,58,-8.527148246765137,8.03427791595459,3.095996141433716
-87,-42,24,-8.412304878234863,-1.296777367591858,4.632031440734863,134,9,158,-9.66123104095459,13.843457221984863,2.2538087368011475
-120,-56,46,-8.603711128234863,-2.775390625,3.430957078933716,226,51,275,-9.369336128234863,17.79121208190918,1.0431641340255737
-95,-64,60,-8.41709041595459,-3.8472657203674316,2.9380860328674316,283,131,353,-5.842675685882568,16.561426162719727,-2.1006836891174316
-82,-70,80,-8.498437881469727,-4.000390529632568,2.861523389816284,186,222,399,-4.517187595367432,11.89111328125,-3.172558546066284
-112,-78,111,-9.15878963470459,-4.182226657867432,2.717968702316284,84,253,395,-3.6080079078674316,7.756738662719727,-3.9860353469848633
-146,-84,123,-8.65634822845459,-4.966992378234863,2.287304639816284,58,228,331,-1.765722632408142,1.263281226158142,-4.660742282867432
-123,-75,100,-7.866796970367432,-5.483788967132568,1.679589867591858,83,178,192,0.14833985269069672,-2.282519578933716,-2.378222703933716
-80,-53,67,-7.2734375,-5.19189453125,1.5168945789337158,145,120,0,0.9522461295127869,-3.7994141578674316,-2.0624024868011475
-70,-31,48,-7.641894817352295,-4.675097942352295,1.79443359375,153,57,-179,0.19140625,-0.9378906488418579,-1.4929687976837158
-73,-12,39,-7.517480850219727,-4.651172161102295,1.8853516578674316,92,15,-303,-1.918847680091858,1.98583984375,-1.98583984375
-58,9,32,-7.0341796875,-4.632031440734863,1.98583984375,74,-1,-381,-3.622363328933716,6.19677734375,-1.7609375715255737
-23,34,27,-6.81884765625,-4.823437690734863,2.813671827316284,30,-9,-365,-5.459863185882568,18.279296875,0.4354492127895355
-3,46,29,-8.27353572845459,-4.689453125,4.770801067352295,-17,29,-204,-6.584374904632568,28.921483993530273,0.4498046934604645
-18,40,22,-7.91943359375,-4.7373046875,5.756543159484863,18,5,56,-2.65576171875,27.351953506469727,3.6080079078674316
37,38,-16,-7.637109756469727,-4.56982421875,6.412109375,34,-14,224,-2.526562452316284,21.150390625,2.454785108566284
111,29,-35,-8.522363662719727,-3.8568360805511475,6.254199504852295,56,-25,301,-3.005078077316284,13.556347846984863,-0.27275392413139343
97,3,-32,-8.22568416595459,-2.885449171066284,5.014843940734863,43,-6,299,-1.1580078601837158,7.795019626617432,-2.8758790493011475
11,-27,-24,-7.718457221984863,-2.9620118141174316,3.8472657203674316,-37,24,256,1.191503882408142,2.115039110183716,-3.6845703125
-40,-44,-20,-7.283008098602295,-3.550585985183716,2.7706055641174316,-117,24,171,3.2060546875,-2.9476563930511475,-3.46923828125
-44,-41,-16,-7.6083984375,-4.23486328125,2.354296922683716,-153,15,43,4.675097942352295,-5.560351848602295,-3.167773485183716
-22,-28,-13,-7.522265911102295,-4.359277248382568,2.201171875,-34,0,-103,5.555566310882568,-5.746972560882568,-2.641406297683716
0,-8,-13,-7.527050971984863,-4.488476753234863,2.2681641578674316,81,-12,-234,4.565039157867432,-2.9715821743011475,-1.358984351158142
22,12,-25,-7.139453411102295,-4.320996284484863,2.2681641578674316,74,-43,-328,2.019335985183716,0.27275392413139343,0.34453126788139343
41,33,-37,-7.689746379852295,-4.37841796875,2.813671827316284,47,-58,-436,-4.387988567352295,3.8903322219848633,1.0192383527755737
57,56,-34,-10.130175590515137,-4.588964939117432,3.909472703933716,-122,-98,-470,-15.599609375,12.886425971984863,2.4117188453674316
57,61,-27,-8.48886775970459,-3.9668946266174316,6.522168159484863,-214,-59,-355,-20.461328506469727,17.092578887939453,5.876172065734863
63,50,-30,-7.335644721984863,-2.6126954555511475,5.708691596984863,-178,10,-128,-13.70947265625,9.39804744720459,4.622460842132568
94,52,-46,-7.479199409484863,-4.612890720367432,5.483788967132568,-12,-17,-48,-10.589550971984863,7.737597942352295,4.95263671875
37,41,-61,-7.574902534484863,-4.722949504852295,4.115234375,120,-91,-41,-8.474512100219727,5.43115234375,3.4453125
0,42,-54,-5.9814453125,-6.416894435882568,2.622265577316284,182,-174,-87,-7.838086128234863,3.4166016578674316,0.588574230670929
55,57,-41,-4.995703220367432,-6.833203315734863,1.358984351158142,276,-200,-162,-8.383593559265137,3.550585985183716,-2.392578125
126,68,-21,-4.78515625,-6.785351753234863,1.244140625,399,-205,-192,-8.96738338470459,5.282812595367432,-2.17724609375
207,67,2,-5.62255859375,-6.852344036102295,1.3876953125,378,-194,-164,-9.88134765625,4.837792873382568,-1.4833984375
263,51,12,-7.39306640625,-6.981543064117432,2.32080078125,438,-163,-134,-9.58945369720459,4.694238185882568,-0.4258789122104645
262,11,-3,-8.63242244720459,-6.31640625,2.598339796066284,155,-93,-71,-8.82861328125,5.3115234375,-0.2392578125
178,-27,-15,-9.986620903015137,-4.708593845367432,3.244335889816284,-48,-13,-18,-9.0439453125,5.737402439117432,0.971386730670929
-25,-78,-34,-9.64208984375,-5.172753810882568,3.957324266433716,-218,31,21,-8.517578125,5.512500286102295,1.9714844226837158
-251,-94,-148,-11.015429496765137,-8.814257621765137,2.51220703125,-158,27,23,-7.995996475219727,4.220508098602295,2.378222703933716
-270,-32,-317,-13.580273628234863,-14.872265815734863,3.1629884243011475,-30,-6,-3,-8.263964653015137,3.7515625953674316,3.1390626430511475
-161,49,-446,-14.034863471984863,-14.90576171875,3.8711915016174316,53,-26,-17,-7.929004192352295,3.335253953933716,3.072070360183716
-125,90,-462,-9.862207412719727,-12.235644340515137,3.9046876430511475,109,-41,-35,-8.08212947845459,4.273144721984863,2.904589891433716
-98,111,-437,-5.995800971984863,-8.75205135345459,5.062695503234863,146,-49,-42,-7.890722751617432,4.756445407867432,2.41650390625
-72,116,-381,-3.2586915493011475,-5.727832317352295,2.8663086891174316,167,-39,-29,-7.862011909484863,4.588964939117432,1.8566406965255737
-30,97,-293,-0.9378906488418579,-1.1149414777755737,3.8807618618011475,106,-17,-6,-7.933789253234863,4.440625190734863,1.72265625
-93,72,-120,0.9139648675918579,4.47412109375,2.713183641433716,43,1,16,-8.235254287719727,4.297070503234863,2.0576171875
